provider,region,code,date,measure,value
Milton Keynes University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RD8,2018-12-03,Arriving by ambulance,76
Norfolk and Norwich University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RM1,2018-12-03,Arriving by ambulance,157
North West Anglia NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGN,2018-12-03,Arriving by ambulance,131
Northampton General Hospital NHS Trust,Midlands And East Of England Commissioning Region,RNS,2018-12-03,Arriving by ambulance,103
Nottingham University Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RX1,2018-12-03,Arriving by ambulance,172
Sandwell and West Birmingham Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RXK,2018-12-03,Arriving by ambulance,178
Sherwood Forest Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RK5,2018-12-03,Arriving by ambulance,97
Shrewsbury and Telford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RXW,2018-12-03,Arriving by ambulance,115
South Warwickshire NHS Foundation Trust,Midlands And East Of England Commissioning Region,RJC,2018-12-03,Arriving by ambulance,62
Southend University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RAJ,2018-12-03,Arriving by ambulance,89
The Dudley Group NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNA,2018-12-03,Arriving by ambulance,107
The Princess Alexandra Hospital NHS Trust,Midlands And East Of England Commissioning Region,RQW,2018-12-03,Arriving by ambulance,76
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Midlands And East Of England Commissioning Region,RCX,2018-12-03,Arriving by ambulance,63
The Royal Wolverhampton NHS Trust,Midlands And East Of England Commissioning Region,RL4,2018-12-03,Arriving by ambulance,156
United Lincolnshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWD,2018-12-03,Arriving by ambulance,151
University Hospitals Birmingham NHS Foundation Trust,Midlands And East Of England Commissioning Region,RRK,2018-12-03,Arriving by ambulance,385
University Hospitals Coventry and Warwickshire NHS Trust,Midlands And East Of England Commissioning Region,RKB,2018-12-03,Arriving by ambulance,170
University Hospitals of Derby and Burton NHS Foundation Trust,Midlands And East Of England Commissioning Region,RTG,2018-12-03,Arriving by ambulance,167
University Hospitals of Leicester NHS Trust,Midlands And East Of England Commissioning Region,RWE,2018-12-03,Arriving by ambulance,192
University Hospitals of North Midlands NHS Trust,Midlands And East Of England Commissioning Region,RJE,2018-12-03,Arriving by ambulance,232
Walsall Healthcare NHS Trust,Midlands And East Of England Commissioning Region,RBK,2018-12-03,Arriving by ambulance,98
West Hertfordshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWG,2018-12-03,Arriving by ambulance,105
West Suffolk NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGR,2018-12-03,Arriving by ambulance,55
Worcestershire Acute Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWP,2018-12-03,Arriving by ambulance,166
Wye Valley NHS Trust,Midlands And East Of England Commissioning Region,RLQ,2018-12-03,Arriving by ambulance,68
Aintree University Hospital NHS Foundation Trust,North Of England Commissioning Region,REM,2018-12-03,Arriving by ambulance,90
Airedale NHS Foundation Trust,North Of England Commissioning Region,RCF,2018-12-03,Arriving by ambulance,43
Alder Hey Children's NHS Foundation Trust,North Of England Commissioning Region,RBS,2018-12-03,Arriving by ambulance,20
Barnsley Hospital NHS Foundation Trust,North Of England Commissioning Region,RFF,2018-12-03,Arriving by ambulance,72
Blackpool Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXL,2018-12-03,Arriving by ambulance,91
Bolton NHS Foundation Trust,North Of England Commissioning Region,RMC,2018-12-03,Arriving by ambulance,101
Bradford Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RAE,2018-12-03,Arriving by ambulance,135
Calderdale and Huddersfield NHS Foundation Trust,North Of England Commissioning Region,RWY,2018-12-03,Arriving by ambulance,113
City Hospitals Sunderland NHS Foundation Trust,North Of England Commissioning Region,RLN,2018-12-03,Arriving by ambulance,96
Countess of Chester Hospital NHS Foundation Trust,North Of England Commissioning Region,RJR,2018-12-03,Arriving by ambulance,90
County Durham and Darlington NHS Foundation Trust,North Of England Commissioning Region,RXP,2018-12-03,Arriving by ambulance,168
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RP5,2018-12-03,Arriving by ambulance,125
East Cheshire NHS Trust,North Of England Commissioning Region,RJN,2018-12-03,Arriving by ambulance,32
East Lancashire Hospitals NHS Trust,North Of England Commissioning Region,RXR,2018-12-03,Arriving by ambulance,142
Gateshead Health NHS Foundation Trust,North Of England Commissioning Region,RR7,2018-12-03,Arriving by ambulance,53
Harrogate and District NHS Foundation Trust,North Of England Commissioning Region,RCD,2018-12-03,Arriving by ambulance,35
Hull and East Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RWA,2018-12-03,Arriving by ambulance,149
Lancashire Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXN,2018-12-03,Arriving by ambulance,104
Leeds Teaching Hospitals NHS Trust,North Of England Commissioning Region,RR8,2018-12-03,Arriving by ambulance,219
Manchester University NHS Foundation Trust,North Of England Commissioning Region,R0A,2018-12-03,Arriving by ambulance,149
Mid Cheshire Hospitals NHS Foundation Trust,North Of England Commissioning Region,RBT,2018-12-03,Arriving by ambulance,73
Mid Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RXF,2018-12-03,Arriving by ambulance,154
North Cumbria University Hospitals NHS Trust,North Of England Commissioning Region,RNL,2018-12-03,Arriving by ambulance,96
North Tees and Hartlepool NHS Foundation Trust,North Of England Commissioning Region,RVW,2018-12-03,Arriving by ambulance,48
Northern Lincolnshire and Goole NHS Foundation Trust,North Of England Commissioning Region,RJL,2018-12-03,Arriving by ambulance,122
Northumbria Healthcare NHS Foundation Trust,North Of England Commissioning Region,RTF,2018-12-03,Arriving by ambulance,136
Pennine Acute Hospitals NHS Trust,North Of England Commissioning Region,RW6,2018-12-03,Arriving by ambulance,259
Royal Liverpool and Broadgreen University Hospitals NHS Trust,North Of England Commissioning Region,RQ6,2018-12-03,Arriving by ambulance,110
Salford Royal NHS Foundation Trust,North Of England Commissioning Region,RM3,2018-12-03,Arriving by ambulance,84
Sheffield Children's NHS Foundation Trust,North Of England Commissioning Region,RCU,2018-12-03,Arriving by ambulance,11
Sheffield Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RHQ,2018-12-03,Arriving by ambulance,115
South Tees Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTR,2018-12-03,Arriving by ambulance,87
South Tyneside NHS Foundation Trust,North Of England Commissioning Region,RE9,2018-12-03,Arriving by ambulance,59
Southport and Ormskirk Hospital NHS Trust,North Of England Commissioning Region,RVY,2018-12-03,Arriving by ambulance,60
St Helens and Knowsley Hospital Services NHS Trust,North Of England Commissioning Region,RBN,2018-12-03,Arriving by ambulance,100
Stockport NHS Foundation Trust,North Of England Commissioning Region,RWJ,2018-12-03,Arriving by ambulance,74
Tameside and Glossop Integrated Care NHS Foundation Trust,North Of England Commissioning Region,RMP,2018-12-03,Arriving by ambulance,65
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTD,2018-12-03,Arriving by ambulance,86
The Rotherham NHS Foundation Trust,North Of England Commissioning Region,RFR,2018-12-03,Arriving by ambulance,76
University Hospitals of Morecambe Bay NHS Foundation Trust,North Of England Commissioning Region,RTX,2018-12-03,Arriving by ambulance,92
Warrington and Halton Hospitals NHS Foundation Trust,North Of England Commissioning Region,RWW,2018-12-03,Arriving by ambulance,65
Wirral University Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RBL,2018-12-03,Arriving by ambulance,83
"Wrightington, Wigan and Leigh NHS Foundation Trust",North Of England Commissioning Region,RRF,2018-12-03,Arriving by ambulance,75
York Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RCB,2018-12-03,Arriving by ambulance,168
Ashford and St Peter's Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTK,2018-12-03,Arriving by ambulance,90
Brighton and Sussex University Hospitals NHS Trust,South East of England Commissioning Region,RXH,2018-12-03,Arriving by ambulance,112
Buckinghamshire Healthcare NHS Trust,South East of England Commissioning Region,RXQ,2018-12-03,Arriving by ambulance,65
Dartford and Gravesham NHS Trust,South East of England Commissioning Region,RN7,2018-12-03,Arriving by ambulance,69
East Kent Hospitals University NHS Foundation Trust,South East of England Commissioning Region,RVV,2018-12-03,Arriving by ambulance,195
East Sussex Healthcare NHS Trust,South East of England Commissioning Region,RXC,2018-12-03,Arriving by ambulance,106
Frimley Health NHS Foundation Trust,South East of England Commissioning Region,RDU,2018-12-03,Arriving by ambulance,195
Hampshire Hospitals NHS Foundation Trust,South East of England Commissioning Region,RN5,2018-12-03,Arriving by ambulance,102
Isle of Wight NHS Trust,South East of England Commissioning Region,R1F,2018-12-03,Arriving by ambulance,44
Maidstone and Tunbridge Wells NHS Trust,South East of England Commissioning Region,RWF,2018-12-03,Arriving by ambulance,115
Medway NHS Foundation Trust,South East of England Commissioning Region,RPA,2018-12-03,Arriving by ambulance,125
Oxford University Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTH,2018-12-03,Arriving by ambulance,102
Portsmouth Hospitals NHS Trust,South East of England Commissioning Region,RHU,2018-12-03,Arriving by ambulance,106
Royal Berkshire NHS Foundation Trust,South East of England Commissioning Region,RHW,2018-12-03,Arriving by ambulance,93
Royal Surrey County Hospital NHS Foundation Trust,South East of England Commissioning Region,RA2,2018-12-03,Arriving by ambulance,45
Surrey and Sussex Healthcare NHS Trust,South East of England Commissioning Region,RTP,2018-12-03,Arriving by ambulance,109
University Hospital Southampton NHS Foundation Trust,South East of England Commissioning Region,RHM,2018-12-03,Arriving by ambulance,141
Western Sussex Hospitals NHS Foundation Trust,South East of England Commissioning Region,RYR,2018-12-03,Arriving by ambulance,140
Dorset County Hospital NHS Foundation Trust,South West of England Commissioning Region,RBD,2018-12-03,Arriving by ambulance,44
Gloucestershire Hospitals NHS Foundation Trust,South West of England Commissioning Region,RTE,2018-12-03,Arriving by ambulance,132
Great Western Hospitals NHS Foundation Trust,South West of England Commissioning Region,RN3,2018-12-03,Arriving by ambulance,95
North Bristol NHS Trust,South West of England Commissioning Region,RVJ,2018-12-03,Arriving by ambulance,111
Northern Devon Healthcare NHS Trust,South West of England Commissioning Region,RBZ,2018-12-03,Arriving by ambulance,48
Poole Hospital NHS Foundation Trust,South West of England Commissioning Region,RD3,2018-12-03,Arriving by ambulance,83
Royal Cornwall Hospitals NHS Trust,South West of England Commissioning Region,REF,2018-12-03,Arriving by ambulance,111
Royal Devon and Exeter NHS Foundation Trust,South West of England Commissioning Region,RH8,2018-12-03,Arriving by ambulance,78
Royal United Hospitals Bath NHS Foundation Trust,South West of England Commissioning Region,RD1,2018-12-03,Arriving by ambulance,92
Salisbury NHS Foundation Trust,South West of England Commissioning Region,RNZ,2018-12-03,Arriving by ambulance,42
Taunton and Somerset NHS Foundation Trust,South West of England Commissioning Region,RBA,2018-12-03,Arriving by ambulance,71
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,South West of England Commissioning Region,RDZ,2018-12-03,Arriving by ambulance,68
Torbay and South Devon NHS Foundation Trust,South West of England Commissioning Region,RA9,2018-12-03,Arriving by ambulance,70
University Hospitals Bristol NHS Foundation Trust,South West of England Commissioning Region,RA7,2018-12-03,Arriving by ambulance,123
University Hospitals Plymouth NHS Trust,South West of England Commissioning Region,RK9,2018-12-03,Arriving by ambulance,131
Weston Area Health NHS Trust,South West of England Commissioning Region,RA3,2018-12-03,Arriving by ambulance,35
Yeovil District Hospital NHS Foundation Trust,South West of England Commissioning Region,RA4,2018-12-03,Arriving by ambulance,54
ENGLAND,NA,NA,2018-12-03,Delay 30-60 mins,1629
"Barking, Havering and Redbridge University Hospitals NHS Trust",London Commissioning Region,RF4,2018-12-03,Delay 30-60 mins,61
Barts Health NHS Trust,London Commissioning Region,R1H,2018-12-03,Delay 30-60 mins,61
Chelsea and Westminster Hospital NHS Foundation Trust,London Commissioning Region,RQM,2018-12-03,Delay 30-60 mins,9
Croydon Health Services NHS Trust,London Commissioning Region,RJ6,2018-12-03,Delay 30-60 mins,20
Epsom and St Helier University Hospitals NHS Trust,London Commissioning Region,RVR,2018-12-03,Delay 30-60 mins,11
Guy's and St Thomas' NHS Foundation Trust,London Commissioning Region,RJ1,2018-12-03,Delay 30-60 mins,2
Homerton University Hospital NHS Foundation Trust,London Commissioning Region,RQX,2018-12-03,Delay 30-60 mins,0
Imperial College Healthcare NHS Trust,London Commissioning Region,RYJ,2018-12-03,Delay 30-60 mins,29
King's College Hospital NHS Foundation Trust,London Commissioning Region,RJZ,2018-12-03,Delay 30-60 mins,13
Kingston Hospital NHS Foundation Trust,London Commissioning Region,RAX,2018-12-03,Delay 30-60 mins,3
Lewisham and Greenwich NHS Trust,London Commissioning Region,RJ2,2018-12-03,Delay 30-60 mins,18
London North West University Healthcare NHS Trust,London Commissioning Region,R1K,2018-12-03,Delay 30-60 mins,11
North Middlesex University Hospital NHS Trust,London Commissioning Region,RAP,2018-12-03,Delay 30-60 mins,0
Royal Free London NHS Foundation Trust,London Commissioning Region,RAL,2018-12-03,Delay 30-60 mins,41
St George's University Hospitals NHS Foundation Trust,London Commissioning Region,RJ7,2018-12-03,Delay 30-60 mins,6
The Hillingdon Hospitals NHS Foundation Trust,London Commissioning Region,RAS,2018-12-03,Delay 30-60 mins,11
University College London Hospitals NHS Foundation Trust,London Commissioning Region,RRV,2018-12-03,Delay 30-60 mins,13
Whittington Health NHS Trust,London Commissioning Region,RKE,2018-12-03,Delay 30-60 mins,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDD,2018-12-03,Delay 30-60 mins,11
Bedford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RC1,2018-12-03,Delay 30-60 mins,0
Birmingham Women's and Children's NHS Foundation Trust,Midlands And East Of England Commissioning Region,RQ3,2018-12-03,Delay 30-60 mins,5
Cambridge University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGT,2018-12-03,Delay 30-60 mins,4
Chesterfield Royal Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RFS,2018-12-03,Delay 30-60 mins,14
East and North Hertfordshire NHS Trust,Midlands And East Of England Commissioning Region,RWH,2018-12-03,Delay 30-60 mins,7
East Suffolk and North Essex NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDE,2018-12-03,Delay 30-60 mins,3
George Eliot Hospital NHS Trust,Midlands And East Of England Commissioning Region,RLT,2018-12-03,Delay 30-60 mins,16
James Paget University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGP,2018-12-03,Delay 30-60 mins,2
Kettering General Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNQ,2018-12-03,Delay 30-60 mins,19
Luton and Dunstable University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RC9,2018-12-03,Delay 30-60 mins,16
Mid Essex Hospital Services NHS Trust,Midlands And East Of England Commissioning Region,RQ8,2018-12-03,Delay 30-60 mins,12
Milton Keynes University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RD8,2018-12-03,Delay 30-60 mins,14
Norfolk and Norwich University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RM1,2018-12-03,Delay 30-60 mins,47
North West Anglia NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGN,2018-12-03,Delay 30-60 mins,26
Northampton General Hospital NHS Trust,Midlands And East Of England Commissioning Region,RNS,2018-12-03,Delay 30-60 mins,10
Nottingham University Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RX1,2018-12-03,Delay 30-60 mins,19
Sandwell and West Birmingham Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RXK,2018-12-03,Delay 30-60 mins,6
Sherwood Forest Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RK5,2018-12-03,Delay 30-60 mins,4
Shrewsbury and Telford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RXW,2018-12-03,Delay 30-60 mins,36
South Warwickshire NHS Foundation Trust,Midlands And East Of England Commissioning Region,RJC,2018-12-03,Delay 30-60 mins,8
Southend University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RAJ,2018-12-03,Delay 30-60 mins,2
The Dudley Group NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNA,2018-12-03,Delay 30-60 mins,9
The Princess Alexandra Hospital NHS Trust,Midlands And East Of England Commissioning Region,RQW,2018-12-03,Delay 30-60 mins,22
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Midlands And East Of England Commissioning Region,RCX,2018-12-03,Delay 30-60 mins,9
The Royal Wolverhampton NHS Trust,Midlands And East Of England Commissioning Region,RL4,2018-12-03,Delay 30-60 mins,4
United Lincolnshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWD,2018-12-03,Delay 30-60 mins,32
University Hospitals Birmingham NHS Foundation Trust,Midlands And East Of England Commissioning Region,RRK,2018-12-03,Delay 30-60 mins,58
University Hospitals Coventry and Warwickshire NHS Trust,Midlands And East Of England Commissioning Region,RKB,2018-12-03,Delay 30-60 mins,46
University Hospitals of Derby and Burton NHS Foundation Trust,Midlands And East Of England Commissioning Region,RTG,2018-12-03,Delay 30-60 mins,9
University Hospitals of Leicester NHS Trust,Midlands And East Of England Commissioning Region,RWE,2018-12-03,Delay 30-60 mins,28
University Hospitals of North Midlands NHS Trust,Midlands And East Of England Commissioning Region,RJE,2018-12-03,Delay 30-60 mins,12
Walsall Healthcare NHS Trust,Midlands And East Of England Commissioning Region,RBK,2018-12-03,Delay 30-60 mins,2
West Hertfordshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWG,2018-12-03,Delay 30-60 mins,21
West Suffolk NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGR,2018-12-03,Delay 30-60 mins,6
Worcestershire Acute Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWP,2018-12-03,Delay 30-60 mins,49
Wye Valley NHS Trust,Midlands And East Of England Commissioning Region,RLQ,2018-12-03,Delay 30-60 mins,9
Aintree University Hospital NHS Foundation Trust,North Of England Commissioning Region,REM,2018-12-03,Delay 30-60 mins,7
Airedale NHS Foundation Trust,North Of England Commissioning Region,RCF,2018-12-03,Delay 30-60 mins,2
Alder Hey Children's NHS Foundation Trust,North Of England Commissioning Region,RBS,2018-12-03,Delay 30-60 mins,0
Barnsley Hospital NHS Foundation Trust,North Of England Commissioning Region,RFF,2018-12-03,Delay 30-60 mins,3
Blackpool Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXL,2018-12-03,Delay 30-60 mins,5
Bolton NHS Foundation Trust,North Of England Commissioning Region,RMC,2018-12-03,Delay 30-60 mins,12
Bradford Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RAE,2018-12-03,Delay 30-60 mins,7
Calderdale and Huddersfield NHS Foundation Trust,North Of England Commissioning Region,RWY,2018-12-03,Delay 30-60 mins,11
City Hospitals Sunderland NHS Foundation Trust,North Of England Commissioning Region,RLN,2018-12-03,Delay 30-60 mins,9
Countess of Chester Hospital NHS Foundation Trust,North Of England Commissioning Region,RJR,2018-12-03,Delay 30-60 mins,6
County Durham and Darlington NHS Foundation Trust,North Of England Commissioning Region,RXP,2018-12-03,Delay 30-60 mins,18
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RP5,2018-12-03,Delay 30-60 mins,18
East Cheshire NHS Trust,North Of England Commissioning Region,RJN,2018-12-03,Delay 30-60 mins,2
East Lancashire Hospitals NHS Trust,North Of England Commissioning Region,RXR,2018-12-03,Delay 30-60 mins,51
Gateshead Health NHS Foundation Trust,North Of England Commissioning Region,RR7,2018-12-03,Delay 30-60 mins,0
Harrogate and District NHS Foundation Trust,North Of England Commissioning Region,RCD,2018-12-03,Delay 30-60 mins,0
Hull and East Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RWA,2018-12-03,Delay 30-60 mins,1
Lancashire Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXN,2018-12-03,Delay 30-60 mins,6
Leeds Teaching Hospitals NHS Trust,North Of England Commissioning Region,RR8,2018-12-03,Delay 30-60 mins,4
Manchester University NHS Foundation Trust,North Of England Commissioning Region,R0A,2018-12-03,Delay 30-60 mins,18
Mid Cheshire Hospitals NHS Foundation Trust,North Of England Commissioning Region,RBT,2018-12-03,Delay 30-60 mins,5
Mid Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RXF,2018-12-03,Delay 30-60 mins,10
North Cumbria University Hospitals NHS Trust,North Of England Commissioning Region,RNL,2018-12-03,Delay 30-60 mins,11
North Tees and Hartlepool NHS Foundation Trust,North Of England Commissioning Region,RVW,2018-12-03,Delay 30-60 mins,0
Northern Lincolnshire and Goole NHS Foundation Trust,North Of England Commissioning Region,RJL,2018-12-03,Delay 30-60 mins,22
Northumbria Healthcare NHS Foundation Trust,North Of England Commissioning Region,RTF,2018-12-03,Delay 30-60 mins,26
Pennine Acute Hospitals NHS Trust,North Of England Commissioning Region,RW6,2018-12-03,Delay 30-60 mins,41
Royal Liverpool and Broadgreen University Hospitals NHS Trust,North Of England Commissioning Region,RQ6,2018-12-03,Delay 30-60 mins,20
Salford Royal NHS Foundation Trust,North Of England Commissioning Region,RM3,2018-12-03,Delay 30-60 mins,18
Sheffield Children's NHS Foundation Trust,North Of England Commissioning Region,RCU,2018-12-03,Delay 30-60 mins,0
Sheffield Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RHQ,2018-12-03,Delay 30-60 mins,5
South Tees Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTR,2018-12-03,Delay 30-60 mins,1
South Tyneside NHS Foundation Trust,North Of England Commissioning Region,RE9,2018-12-03,Delay 30-60 mins,8
Southport and Ormskirk Hospital NHS Trust,North Of England Commissioning Region,RVY,2018-12-03,Delay 30-60 mins,6
St Helens and Knowsley Hospital Services NHS Trust,North Of England Commissioning Region,RBN,2018-12-03,Delay 30-60 mins,14
Stockport NHS Foundation Trust,North Of England Commissioning Region,RWJ,2018-12-03,Delay 30-60 mins,22
Tameside and Glossop Integrated Care NHS Foundation Trust,North Of England Commissioning Region,RMP,2018-12-03,Delay 30-60 mins,2
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTD,2018-12-03,Delay 30-60 mins,6
The Rotherham NHS Foundation Trust,North Of England Commissioning Region,RFR,2018-12-03,Delay 30-60 mins,3
University Hospitals of Morecambe Bay NHS Foundation Trust,North Of England Commissioning Region,RTX,2018-12-03,Delay 30-60 mins,16
Warrington and Halton Hospitals NHS Foundation Trust,North Of England Commissioning Region,RWW,2018-12-03,Delay 30-60 mins,14
Wirral University Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RBL,2018-12-03,Delay 30-60 mins,10
"Wrightington, Wigan and Leigh NHS Foundation Trust",North Of England Commissioning Region,RRF,2018-12-03,Delay 30-60 mins,17
York Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RCB,2018-12-03,Delay 30-60 mins,18
Ashford and St Peter's Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTK,2018-12-03,Delay 30-60 mins,9
Brighton and Sussex University Hospitals NHS Trust,South East of England Commissioning Region,RXH,2018-12-03,Delay 30-60 mins,26
Buckinghamshire Healthcare NHS Trust,South East of England Commissioning Region,RXQ,2018-12-03,Delay 30-60 mins,2
Dartford and Gravesham NHS Trust,South East of England Commissioning Region,RN7,2018-12-03,Delay 30-60 mins,0
East Kent Hospitals University NHS Foundation Trust,South East of England Commissioning Region,RVV,2018-12-03,Delay 30-60 mins,30
East Sussex Healthcare NHS Trust,South East of England Commissioning Region,RXC,2018-12-03,Delay 30-60 mins,5
Frimley Health NHS Foundation Trust,South East of England Commissioning Region,RDU,2018-12-03,Delay 30-60 mins,6
Hampshire Hospitals NHS Foundation Trust,South East of England Commissioning Region,RN5,2018-12-03,Delay 30-60 mins,10
Isle of Wight NHS Trust,South East of England Commissioning Region,R1F,2018-12-03,Delay 30-60 mins,0
Maidstone and Tunbridge Wells NHS Trust,South East of England Commissioning Region,RWF,2018-12-03,Delay 30-60 mins,12
